,text,title,observer,event,year
0," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S) and the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2020 October 25, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2020
1," ePESSTO+, the extended Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classification.
Targets were supplied by the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2019 August 7th, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of an optical transient,PESSTO,,2019
2," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S) and the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S) and by the ALeRCE broker (Forster et al. 2020 https://arxiv.org/abs/2008.03303).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 March 03, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
3," SN 2021flc was discovered by the All-Sky Automated Survey for Supernovae (ASAS-SN) on 5 March 2021 with discovery mag 17.7, at the redshift of the host this is approximately -19.8 mag.
The Trinity College Dublin transients group obtained a spectrum of the object on 2021-03-21 23:40 (UT) using the SPRAT spectrograph onboard the Liverpool Telescope (Steele et al., 2004, Piascik et al. 2014).
We used our Python based classification tool and SNID (Blondin & Tonry, 2007) to classify the transient but found no conclusive match. Matches to SNe Ia were not convincing, with the better templates matches being those of SNe Ib/c, as found by our classification software. At -19.8 mag this would make SN 2021flc a candidate SLSN-I, however the host galaxy appears not to be consistent with typical SLSN hosts.
Follow up observations are encouraged in order to confirm the nature of this object.
 

", TCD identification of a possible superluminous supernova,ZTF,,2021
4," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S) and the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S), and by the ALeRCE broker (Forster et al. 2020 https://arxiv.org/abs/2008.03303). 
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 January 08, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
5," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the Pan-STARRS Survey for Transients (Chambers et al. 2016 2016arXiv161205560C), the ATLAS survey (Smith et al. 2020 2020arXiv200309052S), the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S) and by the ALeRCE broker (Forster et al. 2020 https://arxiv.org/abs/2008.03303), and by the ESA Gaia Photometric Science Alerts Team DPAC.
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 April 10, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
6," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy CGCG 044-044 NED02. We discovered ATLAS20bgey (AT2020abcp) on MJD 59181.62 == 2020-11-28.62, at m_o = 17.14 +/- 0.13. Recent emergence from solar conjunction means that there are no meaningful recent non-detections. ATLAS20bgey is offset by 1.7 arcsec north, 1.3 arcsec east from CGCG 044-044 NED02, which is at z = 0.024 or d = 104 Mpc (from NED), implying an absolute magnitude of M = -18.01 (assuming m-M = 35.09 and A_r = 0.07 and A_i = 0.05). Followup observations are encouraged.
This work has made use of data from the Asteroid Terrestrial-impact Last Alert System (ATLAS) project. ATLAS is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area.  The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, and the Space Telescope Science Institute. 

", ATLAS20bgey (AT2020abcp): discovery of a candidate SN in CGCG 044-044 NED02 (104 Mpc),ATLAS,,2020
7," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following transient classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S), the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S), and the All Sky Automated Survey for SuperNovae ASAS-SN (see Shappee et al. 2014 2014ApJ...788...48S)
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2020 October 22, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2020
8," ePESSTO+, the extended Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ESA Gaia Photometric Science Alerts Team DPAC and the DLT40 Survey
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2019 July 24, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2019
9," We report the classification of 12 stripped-envelope supernovae and one Type II supernova from the intermediate Palomar Transient Factory (Kulkarni, ATel #4807). The classification spectra were obtained with ALFOSC on the 2.56 m Nordic Optical Telescope, the Double Beam Spectrograph at the Palomar 200 inch telescope, the Low-Resolution Imaging Spectrometer at the 10 m Keck-I telescope and the SED Machine at the Palomar 60 inch telescope. These transients constitute the stripped-envelope SNe for which we had internal classifications on Wiserep that had not previously been reported to TNS.
We summarise the classifications and where those classifications were reported first in the Related Objects Table. The redshift information were taken from Schulze et al. (arXiv:2008.05988).

", Supernova classifications from the iPTF survey,ZTF,,2021
